  x d=-0.01  y d=-0.01  x d=-0.03  y d=-0.03  x d=-0.06  y d=-0.06  x d=-0.09  y d=-0.09  x d=-0.12  y d=-0.12  x d=-0.15  y d=-0.15  x d=-0.18  y d=-0.18
  -0.02819   -1.53842   -0.00964   -1.53094    0.01819   -1.51972    0.04601   -1.50850    0.07383   -1.49729    0.10166   -1.48607    0.12948   -1.47485
  -0.02579   -1.54437   -0.00715   -1.53712    0.02081   -1.52625    0.04877   -1.51538    0.07674   -1.50452    0.10470   -1.49365    0.13266   -1.48278
  -0.02347   -1.55034   -0.00474   -1.54333    0.02336   -1.53281    0.05145   -1.52230    0.07955   -1.51178    0.10765   -1.50126    0.13574   -1.49075
  -0.02122   -1.55634   -0.00241   -1.54957    0.02582   -1.53941    0.05405   -1.52924    0.08227   -1.51908    0.11050   -1.50892    0.13873   -1.49876
  -0.01905   -1.56237   -0.00015   -1.55583    0.02820   -1.54603    0.05655   -1.53622    0.08490   -1.52641    0.11325   -1.51661    0.14161   -1.50680
  -0.01696   -1.56843    0.00202   -1.56213    0.03049   -1.55268    0.05897   -1.54323    0.08744   -1.53378    0.11591   -1.52433    0.14439   -1.51488
  -0.01494   -1.57451    0.00412   -1.56845    0.03271   -1.55936    0.06130   -1.55027    0.08989   -1.54118    0.11848   -1.53209    0.14706   -1.52300
  -0.01300   -1.58062    0.00613   -1.57480    0.03483   -1.56607    0.06354   -1.55734    0.09224   -1.54861    0.12094   -1.53987    0.14964   -1.53114
  -0.01114   -1.58675    0.00807   -1.58117    0.03688   -1.57280    0.06569   -1.56443    0.09450   -1.55606    0.12330   -1.54769    0.15211   -1.53932
  -0.00935   -1.59291    0.00993   -1.58757    0.03884   -1.57956    0.06775   -1.57155    0.09666   -1.56355    0.12557   -1.55554    0.15448   -1.54753
  -0.00764   -1.59908    0.01170   -1.59399    0.04071   -1.58634    0.06972   -1.57870    0.09873   -1.57106    0.12774   -1.56341    0.15675   -1.55577
  -0.00601   -1.60528    0.01340   -1.60043    0.04250   -1.59315    0.07160   -1.58587    0.10071   -1.57859    0.12981   -1.57132    0.15891   -1.56404
  -0.00445   -1.61150    0.01501   -1.60689    0.04420   -1.59998    0.07339   -1.59307    0.10259   -1.58615    0.13178   -1.57924    0.16097   -1.57233
  -0.00298   -1.61773    0.01654   -1.61337    0.04582   -1.60683    0.07510   -1.60028    0.10437   -1.59374    0.13365   -1.58719    0.16293   -1.58065
  -0.00158   -1.62399    0.01799   -1.61987    0.04735   -1.61370    0.07671   -1.60752    0.10606   -1.60134    0.13542   -1.59517    0.16478   -1.58899
  -0.00026   -1.63026    0.01936   -1.62639    0.04879   -1.62058    0.07823   -1.61478    0.10766   -1.60897    0.13709   -1.60316    0.16652   -1.59736
   0.00098   -1.63655    0.02065   -1.63292    0.05015   -1.62749    0.07965   -1.62205    0.10916   -1.61662    0.13866   -1.61118    0.16816   -1.60574
   0.00214   -1.64285    0.02185   -1.63947    0.05142   -1.63441    0.08099   -1.62934    0.11056   -1.62428    0.14013   -1.61921    0.16970   -1.61415
